generation,phase,w_pose,w_gait,pose_score,gait_score,best_fitness
0,Posture Training,4.0,0.5,0.7825,79.42633847302685,119.92839875711057
1,Posture Training,3.7222222222222223,0.7777777777777777,0.7825,79.42633847302685,119.92839875711057
2,Posture Training,3.4444444444444446,1.0555555555555554,0.76375,80.60262823087672,127.52122344025763
3,Posture Training,3.166666666666667,1.3333333333333333,0.77,89.84758288840044,149.35251277368093
4,Balance & Motion,2.851851851851852,1.7222222222222219,0.7691666666666669,93.74428832539175,160.47021108854543
5,Balance & Motion,2.4814814814814814,2.2777777777777777,0.7504166666666667,99.72807978310867,179.5006668788106
6,Balance & Motion,2.111111111111111,2.833333333333333,0.7595833333333334,106.97814835643092,203.43990256000188
7,Gait Optimization,1.8703703703703702,3.3888888888888893,0.7683333333333333,136.0166169001817,293.4102046419447
8,Gait Optimization,1.6851851851851851,3.9444444444444446,0.7529166666666667,137.5460078196,294.3274704696584
9,Gait Optimization,1.5,4.5,0.7550000000000001,141.6556376256811,308.59364351404014
